TEAM_ID,CONFERENCE,TEAM
1610612743,West,Denver
1610612763,West,Memphis
1610612740,West,New Orleans
1610612756,West,Phoenix
1610612746,West,LA Clippers
1610612758,West,Sacramento
1610612762,West,Utah
1610612757,West,Portland
1610612742,West,Dallas
1610612750,West,Minnesota
1610612744,West,Golden State
1610612760,West,Oklahoma City
1610612747,West,L.A. Lakers
1610612759,West,San Antonio
1610612745,West,Houston
1610612749,East,Milwaukee
1610612738,East,Boston
1610612739,East,Cleveland
1610612751,East,Brooklyn
1610612755,East,Philadelphia
1610612752,East,New York
1610612737,East,Atlanta
1610612754,East,Indiana
1610612748,East,Miami
1610612761,East,Toronto
1610612741,East,Chicago
1610612753,East,Orlando
1610612764,East,Washington
1610612766,East,Charlotte
1610612765,East,Detroit
